Zones,Total,Ser,Minor,VKT,LN_PO,P_YP,P_INC1,P_Cycle,P_Res,P_Coma,Index,Trams,T_Sig,Bus,Schol,Speed
POA3939,120,35,84,4.8392,9.519,20.071,61.824,0.678,41.8294,1.5135,0.4469,0,8,80,4,77.0866
POA3940,35,7,27,3.4224,8.429,16.161,74.076,0.74,57.277,0.3554,0.6253,0,6,31,1,57.6676
POA3941,55,13,42,3.1797,9.368,21.854,56.932,0.357,83.7333,1.3043,0.3187,0,5,83,2,59.6629
POA3942,13,5,7,2.1006,7.678,17.584,54.695,0.636,77.5052,0.141,0.3325,0,1,26,0,0
POA3943,20,9,10,3.0996,7.278,10.635,55.357,0.855,66.0831,1.6538,0.4543,0,0,45,2,0
POA3944,3,1,2,2.124,6.1,8.52,26.718,0,32.3107,0.1237,0.5772,0,1,18,0,0
POA3975,29,8,21,4.8242,9.364,30.602,19.8,0.06,90.2175,5.3094,0.2152,0,4,21,3,0
POA3976,167,36,130,3.8091,10.076,30.694,40.666,0.149,58.2388,12.6407,0.5889,0,6,102,6,0
POA3977,430,143,284,6.0282,11.119,29.375,36.196,0.154,32.2721,0.8302,0.4143,0,35,254,22,0
POA3978,36,11,24,2.9286,7.105,26.519,35.072,0.584,5.7393,0.9459,0.1523,0,0,7,2,0
POA3980,18,5,13,3.8254,8.026,27.157,37.917,0,15.8987,1.6924,0.3351,0,1,23,1,0
POA3981,56,18,35,4.4558,8.357,28.203,44.034,0,2.0394,2.808,0.1385,0,1,2,4,0
POA3984,31,13,16,3.5807,8.468,22.257,62.146,0.608,0.996,1.2412,0.0997,0,1,2,1,0
POA3987,0,0,0,0,7.194,26.952,40.992,0.61,0,0,0,0,0,0,0,0
POA3988,0,0,0,0,6.797,27.486,48.288,0,0,0,0,0,0,0,0,0
