Zones,Total,Ser,Minor,VKT,LN_PO,P_YP,INC1,Cycle,Res,Coma,Index,Trams,T_Sig,Schol,Bus,Speed,Longi,Latit,AREA
GRID663,1,0,1,0,7.1877,29.4029,26.1456,0.1799,0,41.931,0.3495,0,0,0,0,51.1765,145.2940063,-37.68270111,10875602.99
GRID664,1,0,1,0,7.4055,27.7812,32.2245,0.2946,4.3393,42.8695,0.4299,0,0,0,0,56.6667,145.3269958,-37.68270111,10875368.9
GRID665,7,4,3,1.7597,7.6578,26.4525,35.6358,0.2294,16.6225,0,0.4619,0,0,0,0,81.8182,145.3609924,-37.68270111,10875138.59
GRID666,7,5,2,0,7.6953,26.4786,34.8485,0.2191,0,0,0.0479,0,0,0,0,85,145.3939972,-37.68270111,10874912.84
GRID667,2,1,1,0,7.7026,26.4679,34.7368,0.2174,0,0,0.0474,0,0,0,2,0,145.427002,-37.68270111,10874692.38
GRID668,4,2,1,0,7.6535,26.4706,35.6467,0.2307,0,0,0.035,0,0,0,0,88,145.4609985,-37.68270111,10874476.26
GRID669,4,2,1,0.8585,7.5022,26.5453,38.7273,0.2786,0.7357,2.765,0.1549,0,0,1,0,80,145.4940033,-37.68270111,10874264.68
GRID670,6,2,4,1.6084,7.2435,26.6619,44.8037,0.3922,57.7426,2.8712,0.4904,0,0,1,11,63,145.5269928,-37.68270111,10874057.95
GRID671,1,0,1,-0.0093,7.2392,26.705,44.7796,0.3937,32.6897,61.0397,0.4517,0,0,0,3,74.7059,145.5610046,-37.68270111,10873855.97
GRID672,2,1,1,0,6.5236,27.0191,42.5837,0.3922,0.9189,98.0385,0.0566,0,0,0,0,0,145.5939941,-37.68270111,10873658.24
GRID673,0,0,0,0,5.8021,27.7946,37.3737,0,0,100,0,0,0,0,0,0,145.6269989,-37.68270111,10873464.92
GRID674,0,0,0,0,5.8021,27.7946,37.3737,0,0,100,0,0,0,0,0,0,145.6609955,-37.68270111,10873277.02
GRID675,0,0,0,0,5.8021,27.7946,37.3737,0,0,92.6285,0.1352,0,0,0,0,0,145.6940002,-37.68270111,10873093.28
GRID676,0,0,0,0,5.8021,27.7946,37.3737,0,0,7.6802,0.1392,0,0,0,0,0,145.727005,-37.68270111,10872913.92
GRID677,0,0,0,0,5.8021,27.7946,37.3737,0,0,44.5589,0.3532,0,0,0,0,0,145.7610016,-37.68270111,10872739.87
GRID678,0,0,0,0,5.8021,27.7946,37.3737,0,0,88.0068,0.1885,0,0,0,0,0,145.7940063,-37.68270111,10872570.11
GRID679,0,0,0,0,5.8021,27.7946,37.3737,0,0,17.9741,0.2583,0,0,0,0,90,145.8269958,-37.68270111,10872404.63
GRID680,2,1,1,0,5.8021,27.7946,37.3737,0,0,15.0175,0.2466,0,0,0,0,80,145.8609924,-37.68270111,10872244.37
GRID681,0,0,0,0,5.8021,27.7946,37.3737,0,0,3.1435,0.0718,0,0,0,0,30,145.8939972,-37.68270111,10872088.52
GRID682,0,0,0,0,5.8021,27.7946,37.3737,0,0,0,0,0,0,0,0,0,145.927002,-37.68270111,10871937.02
GRID683,0,0,0,0,5.8021,27.7946,37.3737,0,0,0,0,0,0,0,0,0,145.9609985,-37.68270111,10871790.41
GRID684,0,0,0,0,5.8021,27.7946,37.3737,0,0,0,0,0,0,0,0,0,145.9940033,-37.68270111,10871648.36
GRID685,0,0,0,0,5.8021,27.7946,37.3737,0,0,0,0,0,0,0,0,0,146.0269928,-37.68270111,10871511.2
GRID686,0,0,0,0,5.8021,27.7946,37.3737,0,0,0,0,0,0,0,0,0,146.0610046,-37.68270111,10871378.09
GRID687,0,0,0,0,5.8021,27.7946,37.3737,0,0,0,0,0,0,0,0,0,146.0939941,-37.68270111,10871250.23
GRID688,1,1,0,0,5.5722,27.7567,36.7089,0,0,0,0,0,0,0,0,0,146.125,-37.68320084,8632904.683
GRID689,0,0,0,0,7.1277,27.6083,42.0366,0.2146,4.2145,0,0.2224,0,0,0,0,40,144.5310059,-37.6493988,8234076.394
GRID690,5,4,1,0,7.4067,27.626,42.0118,0.3247,13.19,0.2722,0.4088,0,0,0,13,55.5556,144.5610046,-37.6493988,10886755.89
GRID691,9,3,5,0,7.4067,27.626,42.0118,0.3247,29.4553,2.129,0.4171,0,0,0,15,81.8182,144.5939941,-37.6493988,10886418.83
GRID692,1,0,1,0,7.4067,27.626,42.0118,0.3247,0.5563,0,0.0486,0,0,0,0,100,144.6269989,-37.6493988,10886085.96
GRID693,3,1,2,-1.166,7.4067,27.626,42.0118,0.3247,0,0.0348,0.0181,0,0,0,0,0,144.6609955,-37.6493988,10885758.7
GRID694,3,1,1,-1.8252,7.6944,28.051,38.9231,0.1186,0,0,0,0,0,0,0,0,144.6940002,-37.6493988,10885435.26
GRID695,6,1,5,2.8252,8.1484,28.2533,34.7082,0.1465,18.6592,0,0.3562,0,0,0,4,87.3333,144.727005,-37.6493988,10885116.37
GRID696,2,1,1,0,8.2868,28.2045,32.7193,0.1267,24.098,0,0.3394,0,0,0,0,85,144.7610016,-37.6493988,10884802.36
GRID697,5,3,2,3.0592,8.1599,28.7879,34.3096,0.2196,4.3122,0.0372,0.2646,0,1,0,0,72.1739,144.7940063,-37.6493988,10884493.74
GRID698,15,7,8,3.5957,8.1599,28.7879,34.3096,0.2196,19.2868,0,0.4564,0,1,0,0,83,144.8269958,-37.6493988,10884188.58
GRID699,5,3,2,3.0316,8.1599,28.7879,34.3096,0.2198,0.9915,3.7758,0.3932,0,0,0,0,84.1667,144.8609924,-37.6493988,10883888.94
GRID700,39,11,28,3.3913,8.3246,28.9282,38.496,0.2674,54.6091,14.1193,0.6274,0,6,2,53,59.7619,144.8939972,-37.6493988,10883594.04
GRID701,175,47,124,4.4712,9.5818,29.4179,56.061,0.4102,56.1035,4.9909,0.6242,0,16,6,126,55.1961,144.927002,-37.6493988,10883303.06
GRID702,66,28,37,4.6383,9.477,28.9216,55.4688,0.4165,0,1.201,0.4145,0,7,0,19,70.7692,144.9609985,-37.6493988,10883008.86
GRID703,46,16,27,5.0838,9.2578,22.6206,51.9792,0.4368,13.3353,0.0723,0.4161,0,10,2,22,61.4754,144.9940033,-37.6493988,10882894.1
GRID704,173,43,128,4.3751,9.3049,24.0993,44.3884,0.3613,57.3669,8.8304,0.6976,0,20,6,121,51.1165,145.0269928,-37.6493988,10882458.34
GRID705,70,22,47,2.1596,9.4369,25.4086,37.2786,0.2621,65.8608,10.137,0.562,0,11,5,121,51.9014,145.0610046,-37.6493988,10882186.36
GRID706,42,20,22,3.9687,9.5059,25.3814,37.3557,0.2637,59.2021,12.3091,0.6132,0,8,2,40,58.1818,145.0939941,-37.6493988,10881917.89
GRID707,30,5,25,1.1061,7.1884,29.3807,26.1456,0.1799,91.7032,1.4935,0.1935,0,1,2,18,61.1429,145.1269989,-37.6493988,10881656.41
GRID708,9,3,6,1.1582,7.1884,29.3807,26.1456,0.1799,99.9948,0.0052,0.0003,0,0,0,0,68.6667,145.1609955,-37.6493988,10881397.81
GRID709,7,3,4,2.571,7.1884,29.3807,26.1456,0.1799,90.1051,0.1855,0.2291,0,1,1,0,58.625,145.1940002,-37.6493988,10881144.51
GRID710,5,1,4,1.8684,7.1884,29.3807,26.1456,0.1799,96.7843,0.0805,0.0922,0,0,1,0,61.1429,145.227005,-37.6493988,10880895.56
GRID711,2,1,1,0,7.1884,29.3807,26.1456,0.1799,71.7959,1.8653,0.3818,0,0,0,0,68,145.2610016,-37.6493988,10880651.55
GRID712,3,0,3,0,7.1884,29.3807,26.1456,0.1799,7.4322,53.0834,0.5172,0,0,1,0,63.3333,145.2940063,-37.6493988,10880411.51
GRID713,4,2,1,0,7.1907,29.2389,27.2727,0.1805,15.1639,49.7511,0.5401,0,0,0,0,71.6667,145.3269958,-37.6493988,10880177.04
GRID714,15,5,10,1.8282,7.2506,26.9695,42.1911,0.3802,77.8391,2.0095,0.3582,0,1,1,4,60.2778,145.3609924,-37.6493988,10879946.71
GRID715,0,0,0,2.4512,7.2689,26.6202,44.2438,0.3788,32.8557,0.2832,0.4011,0,0,0,2,89.4118,145.3939972,-37.6493988,10879720.21
GRID716,3,1,2,0,7.2793,26.6207,44.0716,0.3731,0,0,0.0406,0,0,0,2,0,145.427002,-37.6493988,10879500.09
GRID717,3,1,2,0,7.2478,26.6904,44.7005,0.3899,1.0517,0.1552,0.073,0,0,0,0,84,145.4609985,-37.6493988,10879283.76
GRID718,12,7,5,2.7275,7.2506,26.6856,44.7248,0.3883,50.6269,3.2074,0.4913,0,0,0,14,66.5,145.4940033,-37.6493988,10879071.27
GRID719,24,11,13,3.0619,7.2442,26.6429,44.8037,0.3922,84.613,8.6307,0.3205,0,3,3,17,52.1622,145.5269928,-37.6493988,10878864.33
GRID720,15,6,9,0,7.2442,26.6429,44.8037,0.3922,17.3446,81.6362,0.2653,0,0,0,0,75.7895,145.5610046,-37.6493988,10878662.18
GRID721,2,1,1,0,7.2399,26.6141,44.6759,0.3937,0,99.65,0.012,0,0,0,0,0,145.5939941,-37.6493988,10878463.9
GRID722,0,0,0,0,6.9007,26.7875,43.7908,0.2732,0,100,0,0,0,0,0,0,145.6269989,-37.6493988,10878270.84
GRID723,0,0,0,0,6.045,27.2512,39.3701,0,0,100,0,0,0,0,0,0,145.6609955,-37.6493988,10878082.49
GRID724,0,0,0,0,5.8051,27.7108,37.3737,0,0,75.4307,0.2865,0,0,0,0,0,145.6940002,-37.6493988,10877898.38
GRID725,0,0,0,0,5.8051,27.7108,37.3737,0,0,0.0247,0.0012,0,0,0,0,0,145.727005,-37.6493988,10877718.78
GRID726,0,0,0,0,5.8051,27.7108,37.3737,0,0,41.0707,0.348,0,0,0,0,0,145.7610016,-37.6493988,10877544.49
GRID727,0,0,0,0,5.8051,27.7108,37.3737,0,0,100,0,0,0,0,0,0,145.7940063,-37.6493988,10877374.39
GRID728,0,0,0,0,5.8051,27.7108,37.3737,0,0,91.2777,0.1521,0,0,0,0,0,145.8269958,-37.6493988,10877208.76
GRID729,1,0,1,0,5.8051,27.7108,37.3737,0,0,1.3526,0.0428,0,0,0,0,0,145.8609924,-37.6493988,10877048.45
GRID730,3,1,1,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.8939972,-37.6493988,10876892.32
GRID731,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.927002,-37.6493988,10876740.9
GRID732,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.9609985,-37.6493988,10876594.03
GRID733,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.9940033,-37.6493988,10876451.77
GRID734,1,0,1,-2.2203,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,146.0269928,-37.6493988,10876314.02
GRID735,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,146.0610046,-37.6493988,10876181.12
GRID736,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,146.0939941,-37.6493988,10876053.19
GRID737,0,0,0,0,5.4596,27.6596,37.1429,0,0,0,0,0,0,0,0,0,146.1239929,-37.64889908,7708333.623
GRID738,2,0,2,-0.0045,6.8886,27.6249,42.053,0.2725,0,13.6185,0.2425,0,0,0,0,55.7143,144.5330048,-37.61640167,6484847.168
GRID739,1,1,0,-0.1002,7.4073,27.6699,42.2091,0.3241,0,0.4841,0.0593,0,0,0,0,0,144.5610046,-37.61600113,10891568.95
GRID740,4,2,2,1.7504,7.4073,27.6699,42.2091,0.3241,1.137,0.0228,0.1222,0,0,1,0,67.3077,144.5939941,-37.61600113,10891231.38
GRID741,3,1,1,0,7.4073,27.6699,42.2091,0.3241,0,0,0.0477,0,0,0,0,0,144.6269989,-37.61600113,10890898.35
GRID742,2,2,0,1.1348,7.4073,27.6699,42.2091,0.3241,0,0,0.0262,0,0,0,0,0,144.6609955,-37.61600113,10890570.31
GRID743,13,4,9,3.8091,7.531,27.6676,40.1754,0.1412,9.8346,0,0.3035,0,0,1,2,74.5455,144.6940002,-37.61600113,10890246.69
GRID744,13,3,9,2.727,8.1035,27.6165,33.3668,0.1521,75.1006,0.016,0.3615,0,0,0,13,70.6897,144.727005,-37.61600113,10889927.48
GRID745,1,1,0,2.7577,8.1809,27.7716,32.9245,0.1405,17.2573,0,0.2665,0,0,0,0,0,144.7610016,-37.61600113,10889613.24
GRID746,11,4,7,-1.0315,8.1654,28.5471,33.8759,0.2174,2.354,0.1356,0.1397,0,1,0,0,70.7692,144.7940063,-37.61600113,10889303.64
GRID747,8,1,6,1.6502,8.1608,28.7632,34.2023,0.2193,10.0676,0,0.2022,0,0,0,0,100,144.8269958,-37.61600113,10888998.07
GRID748,3,3,0,0,8.1602,28.7797,34.3096,0.2196,0.1499,0,0.0167,0,0,0,0,0,144.8609924,-37.61600113,10888697.95
GRID749,5,4,1,0,8.1602,28.7797,34.3096,0.2196,7.9826,24.0989,0.4506,0,1,2,2,70.7692,144.8939972,-37.61600113,10888402.56
GRID750,59,22,36,2.6979,8.6078,29.0829,44.4444,0.3376,32.4707,2.4917,0.6378,0,1,6,68,47.7551,144.927002,-37.61600113,10888111.27
GRID751,28,5,21,4.2953,8.1104,29.3181,43.3036,0.3697,0.0375,1.9764,0.4448,0,3,0,8,81.8919,144.9609985,-37.61600113,10887812.21
GRID752,6,1,5,0,7.1884,29.3807,26.4151,0.1799,1.176,0,0.1297,0,1,0,0,93.3333,144.9940033,-37.61600113,10887348.05
GRID753,29,8,21,2.7346,7.1884,29.3807,26.4151,0.1799,65.123,0,0.3592,0,3,3,17,50.9877,145.0269928,-37.61600113,10887265.97
GRID754,8,2,5,0,7.1884,29.3807,26.4151,0.1799,22.6221,0.0487,0.2845,0,0,0,16,51.4286,145.0610046,-37.61600113,10886993.36
GRID755,46,17,28,3.0264,7.2041,29.368,26.2599,0.177,54.9765,1.1563,0.5706,0,4,0,35,63.8889,145.0939941,-37.61600113,10886723.11
GRID756,11,2,9,2.2394,7.1884,29.3807,26.4151,0.1799,61.0863,0,0.5045,0,0,1,15,61.5094,145.1269989,-37.61600113,10886461.53
GRID757,10,3,7,0.8562,7.1884,29.3807,26.4151,0.1799,72.2396,0,0.3291,0,0,1,0,67.8261,145.1609955,-37.61600113,10886203.71
GRID758,4,3,0,0.802,7.1884,29.3807,26.4151,0.1799,92.7834,0.0611,0.154,0,0,0,0,75,145.1940002,-37.61600113,10885950.21
GRID759,6,1,5,1.4564,7.1884,29.3807,26.4151,0.1799,95.1755,0,0.1147,0,0,1,0,80,145.227005,-37.61600113,10885700.74
GRID760,7,2,5,0.9028,7.1937,29.151,28.382,0.1812,86.3233,0.1073,0.2527,0,0,1,0,66.8,145.2610016,-37.61600113,10885456.61
GRID761,2,0,2,0,7.213,28.224,35.1759,0.3724,91.6898,0,0.1838,0,0,0,0,0,145.2940063,-37.61600113,10885216.11
GRID762,0,0,0,0,7.2071,28.4655,33.2481,0.3697,16.1532,0.5965,0.2653,0,0,0,0,0,145.3269958,-37.61600113,10884981.01
GRID763,0,0,0,0,7.2255,27.5837,39.1727,0.1901,46.2881,0,0.3548,0,0,0,0,80,145.3609924,-37.61600113,10884750.43
GRID764,1,1,0,0,7.2442,26.6429,44.8037,0.3922,95.8561,0.5433,0.107,0,0,0,0,100,145.3939972,-37.61600113,10884524.11
GRID765,0,0,0,0,7.2442,26.6429,44.8037,0.3922,6.4084,1.3661,0.1811,0,0,0,0,90,145.427002,-37.61600113,10884303.02
GRID766,1,1,0,0,7.2442,26.6429,44.8037,0.3922,9.7085,0.8254,0.1879,0,0,0,0,0,145.4609985,-37.61600113,10884086.48
GRID767,2,1,1,0,7.2442,26.6429,44.8037,0.3922,80.7302,0,0.2541,0,0,1,0,56.2069,145.4940033,-37.61600113,10883874.11
GRID768,6,0,5,0,7.2442,26.6429,44.8037,0.3922,41.837,58.163,0.3493,0,0,0,0,0,145.5269928,-37.61600113,10883666.99
GRID769,0,0,0,0,7.2442,26.6429,44.8037,0.3922,0,100,0,0,0,0,0,0,145.5610046,-37.61600113,10883464.25
GRID770,3,1,2,0,7.2442,26.6429,44.8037,0.3922,0,99.1921,0.0241,0,0,0,0,80,145.5939941,-37.61600113,10883266.26
