Zones,T_Sig,T_Stop,Schols,B_Stop,P_Sped,LN_AVKT,Total,Fatal,Serio,Minor,S1,S2,S3S,S4S,X2,X3,X4,X5,X5A,X5B,X6,X7,X8,X9,LNPOP,Y_POP,HHD1,HHD2,Cyc,X12,X13,X14,X15,Unemp,X17,X18,X20,E1,E2,E3,E4,E5,L2,L3,L4,L5,L6,L7,L8,Resi,Coma,Index,L11,VKT_10,LN_VKT_10,VKT_11,LN_VKT_11,VKT_12,LN_VKT_12,VKT_13,LN_VKT_13,AVKT ,TPOP,Long,Lat
2137019,0,0,0,3,60,3.034305186,4,0,0,4,62,15.5,39,23,29.11208,38.42795,4.51237,0.954545455,51.0917,48.9083,687,3060.21693,33,1571,6.533788838,27.9476,24.554,61.1607,0.78947,3,2.67857,72.32143,23.66071,6.53595,0.78947,80.78947,2.89474,26.64908,20.31662,18.99736,25.59367,5.80475,0,0,0,0,0,0,0,100,0,0,0.22482,20.93130517,3.041245893,19.54888267,2.972918132,21.87940246,3.085545667,21.31735495,3.059521527,20.7865301,688,145.1839627,-38.11458398
2137020,0,0,0,4,50,0,1,0,0,1,54.46428571,10.714,33.036,21.429,26.14213,35.53299,12.43655,0.945812808,50.76142,49.23858,394,2933.08729,34,1071,5.978885765,25.88832,40,48.9655,0,2.5,4.86111,77.08333,15.27778,8.16944,2.6178,80.62827,3.66492,35.10638,15.42553,20.21277,24.46809,3.19149,0,0,0,0,0,0,0,100,0,0,0.13467,0,0,0,0,0,0,0,0,0,395,145.1784413,-38.11397849
2137021,0,0,0,1,0,0,0,0,0,0,50.53763441,6.452,39.785,10.753,31.04575,40.19608,0.98039,0.949044586,50.65359,49.34641,306,3100.5432,30,1241,5.723585102,27.77778,28.723,59.5745,0,3,3.19149,80.85106,12.76596,9.35143,0,75.36232,6.52174,38.51852,12.59259,8.88889,28.88889,6.66667,0,8.34778,0,0,0,0,0,91.65222,0,0.02547,0.09869,0,0,0,0,0,0,0,0,0,306,145.1762594,-38.11254574
2137022,0,0,0,2,0,0,0,0,0,0,51.48514851,9.901,30.693,20.792,22.65861,42.59819,8.1571,0.907514451,52.26586,47.73414,331,2808.8576,36,1118,5.799092654,26.5861,38.136,55.9322,0,2.8,2.54237,73.72881,16.10169,11.84408,2,81.33333,4,27.7027,16.89189,22.2973,14.86486,13.51351,0,0,0,0,0,0,0,100,0,0,0.11749,0,0,0,0,0,0,0,0,0,330,145.1800869,-38.11142744
2137023,0,0,1,3,50,0,3,2,2,1,53.80952381,12.857,31.429,22.381,18.42723,32.51174,30.51643,1.053012048,48.82629,51.17371,852,2096.09785,47,781,6.747586527,18.5446,54.648,32.6761,1.89873,2.1,13.84181,73.16384,9.60452,13.33333,2.21519,79.74684,1.89873,29.96845,22.39748,19.55836,22.39748,5.67823,0,19.52844,0,16.6191,0,0,0,63.85245,0,0.14841,0.40647,0,0,0,0,0,0,0,0,0,852,145.1832721,-38.09306987
2137024,1,0,0,8,71.67,3.747764528,10,0,5,5,64.12556054,15.247,42.601,21.525,33.53222,33.17422,5.72792,0.933025404,51.67064,48.32936,838,515.94002,31,1471,6.72982407,27.56563,23.154,64.7651,1.51515,2.7,0,76.43098,19.86532,6.01307,1.08225,77.48918,3.8961,22.34273,19.95662,19.95662,29.718,4.12148,0,0,0,0,0,0,72.64742,27.35258,0,0.54656,1.62228,49.65958571,3.905191438,17.79313389,2.878812646,59.8256808,4.091435014,62.54731136,4.135923252,42.42613346,837,145.172745,-38.09152323
2137025,3,0,0,1,90.91,4.357060258,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NUM!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5.31828,113.6095692,4.732767739,22.24791242,3.102248181,98.22476767,4.5872584,108.2689654,4.684618551,78.02741644,0,145.163262,-38.07914017
2137026,0,0,0,2,60,1.431470822,3,0,2,1,0,0,0,0,0,100,0,0,100,0,3,0,49,500,#NUM!,0,100,0,100,1,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0.98767,3.44580372,1.237157178,4.345336672,1.469103241,4.763409118,1.560963613,5.012533876,1.611941551,4.184849837,0,145.1607119,-38.09330351
2137027,4,0,0,4,72.86,3.835159901,11,0,8,3,0,0,0,0,0,100,0,0,100,0,4,2.86083,40,0,1.098612289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1.04865,66.43272182,4.196189734,10.5476146,2.35589973,61.9221554,4.125878038,66.00580197,4.189742647,46.30083061,3,145.163392,-38.10207205
2137028,0,0,0,2,93.33,0,10,0,4,6,100,0,100,0,35.71429,42.85714,21.42857,1,64.28571,35.71429,14,10.69138,42,2233,2.772588722,0,50,50,42.85714,4,0,57.14286,42.85714,0,0,57.14286,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1.49653,0,0,0,0,0,0,0,0,0,16,145.1842351,-38.07797916
2137029,1,0,0,1,50,2.737187605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NUM!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.4276,0,10.5724,0,0,0,0,0,0,1.11444,21.02708768,3.045811496,3.208363218,1.165760906,22.0950214,3.095352307,13.32310361,2.589499641,15.44349077,0,145.180946,-38.12031725
2137030,0,0,0,2,0,0,0,0,0,0,68.26923077,15.385,40.385,27.885,20.45455,40.58442,10.06494,1.102739726,48.05195,51.94805,308,1693.67925,39,1125,5.726847748,28.8961,34.821,50.8929,2.14286,2.7,4.42478,77.87611,17.69912,11.36713,2.14286,72.85714,6.42857,31.11111,17.03704,17.03704,27.40741,2.96296,0,35.20863,0,0,0,0,0,64.79137,0,0.14289,0.18126,0,0,0,0,0,0,0,0,0,307,145.1748272,-38.10979592
2137031,0,0,0,3,50,0,1,0,1,0,50,12.36,34.27,15.73,23.50515,42.47423,5.15464,0.951807229,51.34021,48.65979,485,3119.27475,34,1270,6.186208624,28.86598,21.384,66.0377,0,2.6,0,82.69231,14.10256,4.89614,0,77.44681,3.82979,25.31646,16.4557,18.5654,29.95781,4.64135,0,0,0,0,0,0,0,100,0,0,0.15581,0,0,0,0,0,0,0,0,0,486,145.1784571,-38.10532377
